,title,date,author,rating,content
17,"Foursquare 13 yo 2007/2021 (59.8%, Kintra Spirits & The Rum Mercenary, Sample X, Barbados, refill bourbon, 290 bottles)  
","July 11,  2021",Serge,SGP:641 - 88 points.," No wine was involved this time. Colour: full gold. Nose: typical ex-bourbon, fresher, fruitier, cleaner, more straightforward, closer to the raw materials, with some cane juice indeed, apricots, honey, and even notes of… Sauternes. I am not joking, there's no Sauternes and yet there is Sauternes. Funnily absurd. With water: perfect. Vanilla, mead, plums, cane juice, orange blossom water, cassata… All is just top notch here. Mouth (neat): really very good, sweet and yet firm, citrusy, with more honey too (heather), sorb liqueur, honeysuckle syrup… With water: there, excellent. Remains full bodied and on sugarcane, as if no column rum was blended in this time, which I doubt having said that. Finish: long, with notes of that lovely liqueur they have in Belgium, Mandarine Impériale (or Mandarine Napoléon). Some say that when the Red Devils lose, that's because they've had too much of that. Comments: super excellent all-natural Foursquare. Refill bourbon anytime over wine anytime! "
18,"Foursquare 2007/2021 (61.6%, Wealth Solutions, The Colours of Rum, Barbados, Edition No.1, 328 bottles) 
","July 11,  2021",Serge,SGP:641 - 87 points.,"Colour: deep gold. Nose: rather very hot but it seems that the style is similar to that of the previous 2007. So on vanilla, soft dried fruits, raisins, plum jam… With water: we almost recreated the 'Sample X', which is good news indeed. Honey, orange blossom water, earl grey, mead, raisins… Some awesome grassy notes in the background, rather around eucalyptus. A wee metallic touch as well, which always works in my book. Oh and hay, farmyard… Mouth (neat): too rounded and sweet, too easy, too dangerous. Quick… With water: there, we tamed it. It's a tad more 'columny' than the Sample X this time, so a wee notch thinner perhaps, but as usual we're splitting hairs. Very good. Finish: same. Mandarins and liqueurs once again. Comments: another excellent and rather easy one. Wondering if they're importing molasses from various states or if all comes from one same source abroad. Would that change the favour profiles? "
19,"Foursquare 2005/2021 (59.1%, Wealth Solutions, The Colours of Rum, Barbados, ex-bourbon, Edition No.2, cask #111, 272 bottles) 
","July 11,  2021",Serge,SGP:651 - 90 points.," Colour: gold. Nose: a rather cakier style, perhaps a tad fatter, with more orange liqueur. With water: earth, liquorice, a little humus… This was a great cask. Mouth (neat): good! Lovely oranges with a mentholy touch plus a little cinnamon liqueur. With water: yes, excellent, tight and rich, oilier than most other Foursquares that I could try. Finish: long, superbly jammy. Marmalade and drops of mint liqueur. Less mandarins, having said that, rather oranges. Comments: superb cask! There's a purity to this one, and yet a fatness that are just perfect. Well selected, Polish friends!"
20,"Foursquare 1998/2021 (59.9%, Wealth Solutions, The Colours of Rum, Barbados, ex-bourbon, Edition No.3, cask #12, 244 bottles)  
","July 11,  2021",Serge,SGP:640 - 86 points.," Colour: deep gold. Nose: this one seems to be softer, but then again, at this strength, we shan't nose it deeply. Some fudge, apparently, roasted peanuts, praline and nougat… We'll see… With water: some gentle meaty tones, roast chicken (KFC - apologies), otherwise sweet herbal liqueurs, a wee rooty side… Mouth (neat): rather Cuban-style, it seems. A higher proportion of column rum? With water: super good lighter style, without much body but within this very style, it's probably on the podium. Caramelised popcorn in your glass. Finish: medium, rather light, sweet. I'm reminded of elderberry liqueur. Comments: light rum at its best. Even die-hard malt aficionados would enjoy this, though. "
21,"Foursquare 2009/2021 (64%, Wealth Solutions, The Colours of Rum, Barbados, ex-bourbon, Edition No.4, cask #10, 267 bottles) 
","July 11,  2021",Serge,SGP: 651 - 87 points.," Colour: gold. Nose: 64% vol. It's not that it's immensely aggressive, it's just that not many aromas do come through. Some sweetness… With water: I would say it needs a lot of water, time and oxygen to become more complex, but that does happen eventually. Slow motion rum. Earth, hay, orange syrup, a little Nutella… Mouth (neat): very sweet, very strong. With water: sweet, herbal, gaining complexity, towards citrus, liqueurs, marmalade, jams, genepy, aniseed… It never stops improving, this is almost a saga by Scorcese. Give it time (and good water)! Finish: medium, with even more aniseed. Comments: it seems that this is a blend of column and pot. Not that easy to control but it's excellent once you've found the right proportions – and the timing. "
22,"Foursquare 2008/2021 (60.3%, Wealth Solutions, The Colours of Rum, Barbados, ex-bourbon, Edition No.5, cask #6, 235 bottles)  
","July 11,  2021",Serge,SGP:572 - 89 points.," Colour: gold. Nose: some action here, this is completely different, sour, acetic, with some cheese, porridge, sour wines, something clearly bacterial… No muck or dunder though, this is more akin to rotting strawberries. Not obligatorily bad news, mind you, let's see… With water: even more of all that. Fondue with mushrooms, weissbeer, a drop of miso... Mouth (neat): so clearly different! Pure pot still Foursquare, perhaps? It is much greasier, phenolic, salty, fermentary, and indeed on Swiss cheese. I'm thinking appenzeller, or perhaps gorgonzola. With water: seems to find the road, with more sultanas, Muscovado sugar, molasses, milk chocolate, maple syrup… Finish: rather long, this time with some coffee liqueur and drops of crazier white rum. Comments: was it the spirit? Was it the cask? What's sure is that this is different and, in my book, excellent. We want more."
23,"Glendronach 10 yo 'Forgue' (43%, OB, +/-2020)  
","July 9,  2021",Serge,SGP:451 - 80 points.," I've never tried this wee 10 for travel retail. It says it's ex-sherry but the colour's pretty light. Colour: light gold. Nose: no big sherry indeed, rather a lot of porridge, grist, burnt cereals, and only then the obligatory walnuts as well as touches of sour cherries. Some tea as well, burnt cake… It's all pretty pleasant but indeed a little 'travel retail'. I don't mean travel retail whiskies taste of kerosene! Mouth: a little harsh and oaky, with oranges and damsons plus a touch of cardamom. Burnt cake, burnt raisins, roasted almonds, bitter almonds. Ginger and cinnamon from the oak. The body's okay. Finish: medium, a tad on bitter beer, nutmeg, more cinnamon. Nicer oranges in the aftertaste. Comments: average Speysider, not in the bad sense of the word average. Not mindboggling but fine, there. "
24,"Glendronach 15 yo 'Revival' (46%, OB, +/-2020) 
","July 9,  2021",Serge,SGP:551 - 86 points.," I had thought it had lost a large part of its original oomph when I last tried the 15, back in 2018 (WF 81). That was already a version to which they had added PX. Seems that our friend Ralfy had noticed that it is now not 'non chill-filtered' anymore, not too sure why a bottler would take that away while still bottling at 46% col. But sometimes whisky is like wurst or the law, you wouldn't want to know how they make it. Colour: gold. Nose: same path as that of the 10, only a little hotter and with more raisins I would say. Same cherry stems, nuts, grist, burnt cake, a little metal polish… The first Revivals had been stunning more than ten years ago, but rumour had it that they had added much older whiskies to the vattings. As B.B. King would have said, the thrill is gone now. Mouth: still a pleasant whisky and I think I actually like it better than last time. I'm particularly fond of these mentholy and liquoricy notes, the sour oranges, this earthiness, and certainly the orange blossom (our pals the panettones, I love panettone and my birthday is… joking). Roasted nuts. Frankly, I find this pretty good, if not as thick and wide as the early batches. Finish: rather long, with a retro style. Earth and soot on top of sherry and all that. Roasted nuts in the aftertaste. Comments: Glendronach, you had me worried for a minute… "
25,"Glendronach 26 yo 1993/2019 (51%, OB, for The Whisky List, Australia, First Fill Oloroso Sherry, cask #392, 657 bottles)  
","July 9,  2021",Serge,SGP:562 - 91 points.," You're never quite sure if these are full-matured sherries or only finishings but that doesn't always matter. Few companies are totally transparent in that respect, well Diageo are. Colour: reddish amber. Nose: yep, rosehip tea, peonies, shoe polish, orangettes (zests dipped into chocolate), camphor and soft liquorice, then black earth and boletus. Even hints of black truffles. That's all fine and well, if not extremely oloroso-y. With water: oh what a wonderful earthiness! Would you forgive me if I wrote that it reminds me some ex-sherry Karuizawas? Mouth (neat): excellent! Huge walnuts, touch of burnt cakes and nuts, bags of liquorice, blood oranges, more orangettes, raisins, chouchen (remember, that's more or less distilled mead), touches of copper, pepper, mustard/Madeira… Excellent, really. With water: once again, it got earthier and a tad more mentholy, which is just superb indeed. Finish: long, the oranges being back and mingling with the liquorice, the mint and some tobacco. Comments: superlative 1993 Glendronach. I hate to add 'as expected'. Well selected, Australia! "
26,"Glengoyne 'Cask Strength Batch 008' (59.2%, OB, 2020) 
","July 8,  2021",Serge,SGP:551 - 85 points.," From sherry casks and bourbon barrels. This one too was 'unhurried Since 1833' but I'm asking, isn't that starting to feel a little long? (Ed: S., oh please!) The first and the second batches (2013 and 2014) have been my favourite. BTW, this #008 comes with a new livery. Colour: light gold. Nose: a little raw, on porridge and muesli, with touches of rubber, stems, apple peelings, cider, a little muscovado sugar, wisteria, scones… Rather all-natural, with rather minimal sherry impact. With water: gets almondy and a little mentholy. Cedar wood, some patchouli and some beedis. Peace, love! Mouth (neat): close to the barley, with good citrus and other acidic fruits, citrons, Seville oranges, then a little caramel and indeed touches of fresh sherry. Some pepper. With water: on citrus and caramel, some kind of lemony chilli – I suppose that does exist – and walnut wine. Finish: long, rather on toasted bread, pecan pie, toffee, chocolate… Some butterscotch in the aftertaste. Comments: a pretty good batch, I would say. Plays well with H2O. "
27,"Glengoyne 2009/2020 (57.1%, OB, The Family Legacy, PX hogshead, cask #1009, 318 bottles) 
","July 8,  2021",Serge,SGP:462 - 90 points.," This is a single cask, obviously. Colour: amber. Nose: reminds me of the olden days, with this lovely, slightly varnishy sherry, a lot of toffee and nougat, old furniture and old books, thuja and cedar wood… I'm rather impressed I have to say. With water: classic development on mushrooms, earth, cigars and lamp oil. Superb. Mouth (neat): superb indeed! Shoe polish, triple-sec, fudge, menthol, cough syrup, heather honey… Love this, really. Some single cask! With water: and there, as expected it took water extremely well, getting more citrusy and more herbal. Citronelle, proper limoncello, green walnuts… This is perfect. Finish: rather long, tense and curiously vertical (in the best sense) given the pedigree. Perhaps the less schmalzy ex-PX malt whisky ever. Quite. Comments: we need the papers to make sure this was PX and not fino or amontillado. I am not joking. Okay, I am. Splendid young Glengoyne, makes me very happy. Indeed I've expurgated this note. "
28,"Mannochmore 12 yo 2008/2021 (55.4%, Fable Whisky, The Ghost Piper of Clanyard Bay, Chapter One, hogshead, cask #7040, 283 bottles) 
","July 6,  2021",Serge,SGP:461 - 90 points.,"I find this label utterly stunning, given that I'm a huge fan of woodcuts and antique ex-libris. Stunning, extraordinary, greatest label this year and so far… Hope they'll sell the artwork as prints. Colour: white wine. Nose: and the whisky's not half bad! Perfect mentholy and lemony and gristy doughs and breads, wonderful whiffs of fresh sourdough, lovely ueber-fermentary profile… This is almost orange whisky, as in orange wine. Indeed, homemade yoghurt too. Weissen beer. With water: we're bordering gym socks at times, but that's no problem. Fermentary, he said. Mouth (neat): and there, some lemony sweetness, limoncello, lemongrass, more white beer, dough, proper porridge… With water: butterscotch! Some wizard of cask management was involved here, I'd bet the farm on that. Finish: and there, praline, shortbread, beer, panettone, limoncello, tiny touch of soy… Comments: riiiiight up my alley. But Mannochmore? As in Loch Dhu? "
29,"Mannochmore 11 yo 2008/2019 (56.8%, James Eadie, PX hogshead finish, 311 bottles) 
","July 6,  2021",Serge,SGP:461 - 87 points.,"This is black from Black's, as they say at Black & Black's. Colour: mahogany. Nose: coffee, roasted nuts, cigars, chocolate, good gunpowder, marmalade, engine oil, jabugo (a wee bit), truffles, roasted sesame… It's less bright than the previous 2008, but I find it just as perfect. With water: gets a little simpler and tighter. Glenfarclas 105, Mac 10 CS, early A'bunadh and all that. No bad refences mind you. Mouth (neat): oh, old Demerara! El Dorado without sugar. No, absolutely, rum. With water: maltier and more on tobacco, perhaps a wee tad more disjointed shall we say, but it's still an excellent sherried drop. Finish: long, getting grassier and spicier. Ginger and turmeric. Comments: I think I preferred the other one's immaculateness, but this mighty sherried Mannochmore would still bust up the 'official party', if you see what I mean. Upon reflexion, however, it did not need any waters."
30,"Secret Highland 13 yo 2007/2020 (52.7%, Les Grands Alambics, hogshead, 141 bottles) 
","July 5,  2021",Serge,SGP:562 - 90 points.," And another lovely original label. These secret highlands are often Clynelish and sometimes Glenmorangie, both being pretty close indeed. I mean, geographically. Colour: white wine. Nose: tense and tight, gritty and gristy, with nice grass, lemon peel and melon skin on top of some leaven bread. You may add a touch of pastis and crème de menthe, just the equivalent of one pinhead of each. With water: linseed oil, beeswax and a wheelbarrow of fresh barley, plus this sour touch that's always so pleasant in many young expressions of this make. Although 13 is not that young indeed, how time flies! Mouth (neat): waxy from the start, tight and yet with an oily mouthfeel and rather a lot of grass and fruit peel once again. Barley, lemon and tangerines. That the distillery would start with a C would not surprise me at all here. With water: yes, absolutely impeccable, with a sooty, earthy and peppery side that's not without reminding me of Old Clynelish. Finish: long, even waxier, always with this lovely lemon + grass combo. Flints, dough and paraffin in the aftertaste. Comments: I'm not well acquainted with the 2007s but I find this deeper than the 2010 or 2011s, which are more common. Oh well this is perfect malt whisky; indeed these stills are grand (and so is the receiver, ha.) Top malt for me. "
